Zip,5 Mile Population,Recorded,ORG User,Modified User
94596,195382,4/25/2019,admin_UL,admin_UL
55904,30412,4/25/2019,admin_UL,admin_UL
97045,"55,332",4/25/2019,admin_UL,admin_UL
97005,"320,118",4/25/2019,admin_UL,admin_UL
97204,"371,768",4/25/2019,admin_UL,admin_UL
92672,"40,736",4/25/2019,admin_UL,admin_UL
49684,"24,425",4/25/2019,admin_UL,admin_UL
83406,"42,487",4/25/2019,admin_UL,admin_UL
44632,24451,4/23/2019,admin_UL,admin_UL
07079,"638,883",4/23/2019,admin_UL,admin_UL
07035,"122,441",4/23/2019,admin_UL,admin_UL
95678,"189,389",4/18/2019,admin_UL,admin_UL
06489,"43,405",4/18/2019,admin_UL,admin_UL
02062,"136,810",4/18/2019,admin_UL,admin_UL
02180,"314,806",4/18/2019,admin_UL,admin_UL
92562,"68,917",4/17/2019,admin_UL,admin_UL
44022,"22,219",4/17/2019,admin_UL,admin_UL
88901,"159,836",4/17/2019,admin_UL,admin_UL
99001,"29,504",4/17/2019,admin_UL,admin_UL
85001,"252,340",4/17/2019,admin_UL,admin_UL
98660,"105,963",4/17/2019,admin_UL,admin_UL
30071,"246,113",4/12/2019,admin_UL,admin_UL
76707,"62,532",4/12/2019,admin_UL,admin_UL
12550,"56,515",4/12/2019,admin_UL,admin_UL
95403,"108,274",4/10/2019,admin_UL,admin_UL
48161,61142,4/10/2019,admin_UL,admin_UL
38671,"92,704",4/10/2019,admin_UL,admin_UL
91361,"99,176",4/10/2019,admin_UL,admin_UL
31028,"94,327",4/10/2019,admin_UL,admin_UL
79761,"73,584",4/10/2019,admin_UL,admin_UL
98201,"114,926",4/10/2019,admin_UL,admin_UL
50321,"136,413",4/10/2019,admin_UL,admin_UL
94612,"455,731",4/10/2019,admin_UL,admin_UL
33409,"240,855",4/10/2019,admin_UL,admin_UL
95901,"33,749",4/10/2019,admin_UL,admin_UL
67208,"172,179",4/10/2019,admin_UL,admin_UL
53201,"409,537",4/10/2019,admin_UL,admin_UL
98271,"81,297",4/10/2019,admin_UL,admin_UL
98133,"342,841",4/10/2019,admin_UL,admin_UL
22554,"60,710",4/10/2019,admin_UL,admin_UL
40342,"23,625",4/10/2019,admin_UL,admin_UL
98272,"26,838",4/10/2019,admin_UL,admin_UL
70815,"168,286",4/9/2019,admin_UL,admin_UL
46825,"163,370",4/9/2019,admin_UL,admin_UL
83605,"69,602",4/9/2019,admin_UL,admin_UL
90013,"1,204,173",4/9/2019,admin_UL,admin_UL
82001,"37,277",4/9/2019,admin_UL,admin_UL
61611,"84,640",4/9/2019,admin_UL,admin_UL
44114,"169,916",4/9/2019,admin_UL,admin_UL
19701,"101,830",4/9/2019,admin_UL,admin_UL
78582,"42,075",4/5/2019,admin_UL,admin_UL
