Zip,Product,Recorded,ORG User,Modified User
06052,"Frontier 88.7%, Xfinity From Comcast 99.9%",4/18/2019,admin_UL,admin_UL
06419,"Xfinity 99.7%, Frontier 89.6%",4/18/2019,admin_UL,admin_UL
64151,"Spectrum 99.8%, AT&T Internet 99.3%, Google Fiber 89.2%, AT&T Fiber 9.5%, Consolidated 2.2%",4/18/2019,admin_UL,admin_UL
02332,"Xfinity 99.8%, Verizon Fios 99.2%, Verizon 71.1%",4/18/2019,admin_UL,admin_UL
60491,"AT&T Internet 94.7%, Xfinity From Comcast 99.8%",4/18/2019,admin_UL,admin_UL
64119,"Spectrum 100.0%, AT&T Internet 99.7%, Google Fiber 97.1%, Consolidated 4.6%",4/18/2019,admin_UL,admin_UL
05401,"Burlington Telecom 99.1%, Xfinity 99.1%, Consolidated 99.0%",4/18/2019,admin_UL,admin_UL
33432,"Xfinity 100.0%, AT&T Internet 99.4%, AT&T Fiber 2.6%",4/17/2019,admin_UL,admin_UL
92545,"Spectrum 99.4%, Frontier - DSL 89.8%, Frontier - Fiber 88.9%",4/17/2019,admin_UL,admin_UL
37160,"AT&T Internet 84.7%, Spectrum 83.5%, United 14.3%, Spirit 3.9%",4/17/2019,admin_UL,admin_UL
90040,"Spectrum 100.0%, AT&T Internet 80.5%, Frontier 24.2%",4/17/2019,admin_UL,admin_UL
27510,"Spectrum 100.0%, AT&T Internet 97.4%, AT&T Fiber 58.8%",4/17/2019,admin_UL,admin_UL
89074,"CenturyLink - DSL 99.0%, Cox 98.9%, CenturyLink - Fiber 8.0%",4/17/2019,admin_UL,admin_UL
97703,No Data available,4/17/2019,admin_UL,admin_UL
80120,"CenturyLink - DSL 87.5%, CenturyLink - Fiber 32.8%, Xfinity From Comcast 99.0%",4/17/2019,admin_UL,admin_UL
57702,"CenturyLink - DSL 94.3%, Vast Broadband 87.7%, Midco 83.3%, Fort Randall Telephone Company Plans 2.4%",4/17/2019,admin_UL,admin_UL
97701,"CenturyLink - DSL 98.8%, Bendbroadband 90.6%, Quantum 35.1%, CenturyLink - Fiber 4.8%",4/17/2019,admin_UL,admin_UL
43623,"Buckeye Broadband 99.9%, AT&T Internet 74.3%, Frontier 29.9%",4/17/2019,admin_UL,admin_UL
10970,"Verizon Fios 92.2%, Verizon 75.7%, Optimum 100.0%",4/12/2019,admin_UL,admin_UL
60430,"AT&T Internet 99.8%, Xfinity From Comcast 99.6%",4/12/2019,admin_UL,admin_UL
55401,"CenturyLink - DSL 100.0%, Xfinity 100.0%, CenturyLink - Fiber 36.0%, AccessMedia3 7.6%",4/12/2019,admin_UL,admin_UL
92683,"Spectrum 99.8%, Frontier - Fiber 73.0%, Frontier - DSL 72.1%, AT&T Internet 17.8%",4/12/2019,admin_UL,admin_UL
70433,"Spectrum 99.0%, AT&T Internet 92.4%, AT&T Fiber 25.9%, NTS 1.7%",4/12/2019,admin_UL,admin_UL
32801,"AT&T Internet 100.0%, Spectrum 100.0%, Summit - Fiber 9.1%, AT&T Fiber 2.9%, Summit - Cable 2.6%",4/12/2019,admin_UL,admin_UL
